age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,actual,probability,prediction,error_type
29,Private,200928,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,0.25085065,0,False Negative
52,Local-gov,178983,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.4084283,1,False Positive
39,Private,177140,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,1,0.04538713,0,False Negative
63,Self-emp-not-inc,168048,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,0,0.7009148,1,False Positive
39,Local-gov,30269,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,44,United-States,1,0.09192932,0,False Negative
52,Private,53497,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.44606996,1,False Positive
49,Self-emp-not-inc,241688,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Cuba,0,0.39796096,1,False Positive
52,,188431,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,45,United-States,0,0.4838612,1,False Positive
27,Self-emp-not-inc,66473,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0,0.46334544,1,False Positive
50,Self-emp-inc,152810,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,70,Germany,0,0.48397544,1,False Positive
32,Self-emp-not-inc,62165,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,,0,0.48994392,1,False Positive
62,,178764,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,1,0.30379662,0,False Negative
57,Private,204209,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,1,0.32741705,0,False Negative
54,Private,329733,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,1,0.064183384,0,False Negative
59,,409842,Masters,14,Married-civ-spouse,,Husband,White,Male,0,0,20,United-States,0,0.5441549,1,False Positive
37,Private,261241,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1485,50,United-States,0,0.6276444,1,False Positive
36,Private,254493,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,0,0.4309659,1,False Positive
35,Private,357173,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0,0.48242587,1,False Positive
39,Local-gov,170263,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,30,United-States,1,0.040174413,0,False Negative
31,Private,183000,Prof-school,15,Never-married,Tech-support,Not-in-family,White,Male,0,0,55,United-States,0,0.36491647,1,False Positive
61,Private,101500,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0.39148486,1,False Positive
44,Self-emp-not-inc,155930,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0,0.41651338,1,False Positive
