feature,importance
marital-status_Married-civ-spouse,0.20774224
higher_ed,0.08220614
relationship_Husband,0.071558595
marital-status_Never-married,0.0657679
capital-gain,0.043207526
log_capital_gain,0.03542802
relationship_Wife,0.028668318
relationship_Unmarried,0.023209022
age_bucket_<25,0.021030067
capital_gain_flag,0.019684168
education-num,0.018055089
marital-status_Divorced,0.014620071
relationship_Not-in-family,0.014213826
edu_hours_interaction,0.013712306
occupation_Other-service,0.0134278815
relationship_Own-child,0.013213222
log_capital_loss,0.012184223
capital-loss,0.011905109
occupation_Farming-fishing,0.011588098
occupation_Exec-managerial,0.009387093
capital_loss_flag,0.009197675
marital-status_Separated,0.008132935
occupation_Handlers-cleaners,0.007918097
workclass_Self-emp-not-inc,0.007259071
hours_bin_part-time(<35),0.007161193
sex_Male,0.0071499897
age,0.0065913284
native-country_Mexico,0.0060231094
occupation_Tech-support,0.0057475963
workclass_Federal-gov,0.005747566
education_Prof-school,0.005655573
marital-status_Widowed,0.005361056
occupation_Machine-op-inspct,0.0053594625
relationship_Other-relative,0.0052307127
age_bucket_45-54,0.004936527
sex_Female,0.0046955543
native-country_Canada,0.004560685
occupation_Prof-specialty,0.004544153
marital-status_Married-spouse-absent,0.004274253
occupation_Protective-serv,0.0041668112
occupation_Adm-clerical,0.004152
race_Black,0.004022713
age_bucket_65+,0.0040216497
native-country_United-States,0.0039907787
education_Doctorate,0.003944796
occupation_Sales,0.0036879505
workclass_Self-emp-inc,0.0036819843
workclass_Local-gov,0.0036211852
age_bucket_25-34,0.0035636136
hours-per-week,0.0034797026
education_10th,0.003469935
workclass_State-gov,0.0034329093
race_White,0.0033993886
native-country_China,0.0033905648
education_Masters,0.003336757
hours_bin_overtime(>45),0.0033205266
native-country_Philippines,0.0032641385
native-country_South,0.0032631622
occupation_Transport-moving,0.0032083613
occupation_Priv-house-serv,0.003188282
education_Bachelors,0.0031240412
age_bucket_55-64,0.0031010287
native-country_Cuba,0.0029722997
race_Other,0.0028086388
native-country_Puerto-Rico,0.0027907637
education_Assoc-voc,0.0027747892
race_Asian-Pac-Islander,0.0027733226
education_Some-college,0.00277159
native-country_Columbia,0.0027600976
occupation_Craft-repair,0.0027210324
education_Assoc-acdm,0.0025595534
native-country_Dominican-Republic,0.002546806
race_Amer-Indian-Eskimo,0.0025174392
native-country_India,0.002478113
native-country_Jamaica,0.002460423
workclass_Private,0.0024391622
education_11th,0.0024283002
fnlwgt,0.0024045764
native-country_France,0.0023129918
native-country_England,0.0023119333
native-country_Japan,0.0022166613
education_HS-grad,0.0021751353
education_12th,0.0021457258
education_7th-8th,0.0020563481
native-country_Germany,0.0019778705
native-country_Portugal,0.001958597
age_bucket_35-44,0.001931179
native-country_Peru,0.0018418814
hours_bin_full-time(35-45),0.0018196405
native-country_El-Salvador,0.0017984379
native-country_Italy,0.0016731984
education_9th,0.0016159703
education_5th-6th,0.0015888334
education_1st-4th,0.00018094492
native-country_Thailand,0.0
native-country_Trinadad&Tobago,0.0
native-country_Haiti,0.0
native-country_Vietnam,0.0
native-country_Yugoslavia,0.0
occupation_Armed-Forces,0.0
marital-status_Married-AF-spouse,0.0
education_Preschool,0.0
native-country_Taiwan,0.0
workclass_Never-worked,0.0
native-country_Scotland,0.0
native-country_Honduras,0.0
native-country_Poland,0.0
native-country_Greece,0.0
workclass_Without-pay,0.0
native-country_Nicaragua,0.0
native-country_Cambodia,0.0
native-country_Laos,0.0
native-country_Guatemala,0.0
native-country_Ecuador,0.0
native-country_Ireland,0.0
native-country_Iran,0.0
native-country_Hungary,0.0
native-country_Hong,0.0
native-country_Outlying-US(Guam-USVI-etc),0.0
