feature,group,n,positive_rate,accuracy,precision,recall,f1
sex,Male,6480,0.30416666666666664,0.8279320987654321,0.6848013816925734,0.8046676813800101,0.7399113599253557
sex,Female,3289,0.11158406810580723,0.9300699300699301,0.6908077994428969,0.6757493188010899,0.6831955922865014
race,White,8348,0.25383325347388597,0.8573310972688069,0.6907894736842105,0.7928268050967437,0.7382992748846408
race,Other,69,0.15942028985507245,0.8985507246376812,0.7,0.6363636363636364,0.6666666666666666
race,Black,944,0.1281779661016949,0.9067796610169492,0.6341463414634146,0.6446280991735537,0.639344262295082
race,Asian-Pac-Islander,304,0.2565789473684211,0.8552631578947368,0.6847826086956522,0.8076923076923077,0.7411764705882353
race,Amer-Indian-Eskimo,104,0.08653846153846154,0.8557692307692307,0.3333333333333333,0.6666666666666666,0.4444444444444444
education,HS-grad,3202,0.16021236727045596,0.8603997501561524,0.5615671641791045,0.5867446393762183,0.5738798856053384
education,Assoc-acdm,298,0.2483221476510067,0.8523489932885906,0.65625,0.8513513513513513,0.7411764705882353
education,Some-college,2139,0.18045815801776532,0.8644226273959794,0.594488188976378,0.7823834196891192,0.6756152125279642
education,Prof-school,180,0.7055555555555556,0.8333333333333334,0.8129032258064516,0.9921259842519685,0.8936170212765957
education,Bachelors,1646,0.41008505467800727,0.8335358444714459,0.7515683814303639,0.8874074074074074,0.813858695652174
education,7th-8th,199,0.08542713567839195,0.9396984924623115,1.0,0.29411764705882354,0.45454545454545453
education,11th,361,0.05263157894736842,0.961218836565097,0.7777777777777778,0.3684210526315789,0.5
education,Assoc-voc,404,0.27970297029702973,0.8267326732673267,0.6546762589928058,0.8053097345132744,0.7222222222222222
education,Masters,526,0.5437262357414449,0.811787072243346,0.8006430868167203,0.8706293706293706,0.8341708542713567
education,12th,125,0.08,0.96,1.0,0.5,0.6666666666666666
education,5th-6th,82,0.08536585365853659,0.9146341463414634,0.0,0.0,0.0
education,10th,281,0.08185053380782918,0.9359430604982206,0.8571428571428571,0.2608695652173913,0.4
education,9th,145,0.027586206896551724,0.9724137931034482,0.0,0.0,0.0
education,1st-4th,34,0.029411764705882353,0.9705882352941176,0.0,0.0,0.0
education,Doctorate,126,0.6507936507936508,0.7619047619047619,0.7452830188679245,0.9634146341463414,0.8404255319148937
relationship,Own-child,1548,0.014211886304909561,0.9916020671834626,0.9090909090909091,0.45454545454545453,0.6060606060606061
relationship,Not-in-family,2522,0.0979381443298969,0.9337827121332276,0.7247191011235955,0.5222672064777328,0.6070588235294118
relationship,Unmarried,1038,0.06165703275529865,0.9595375722543352,0.8235294117647058,0.4375,0.5714285714285714
relationship,Husband,3894,0.45582948125321004,0.7460195172059579,0.6814404432132964,0.8315492957746479,0.7490484648566353
relationship,Wife,479,0.4551148225469729,0.7348643006263048,0.6642599277978339,0.8440366972477065,0.7434343434343434
relationship,Other-relative,288,0.041666666666666664,0.9756944444444444,0.7777777777777778,0.5833333333333334,0.6666666666666666
workclass,Private,6765,0.22069475240206948,0.870509977827051,0.6800934033858728,0.7803081044876088,0.7267623206487835
workclass,State-gov,425,0.2564705882352941,0.8823529411764706,0.7322834645669292,0.8532110091743119,0.788135593220339
workclass,Local-gov,601,0.2628951747088186,0.8169717138103162,0.6290322580645161,0.740506329113924,0.6802325581395349
workclass,Self-emp-inc,332,0.5753012048192772,0.8253012048192772,0.7982062780269058,0.9319371727748691,0.8599033816425121
workclass,Self-emp-not-inc,794,0.2795969773299748,0.8110831234256927,0.6764705882352942,0.6216216216216216,0.647887323943662
workclass,Federal-gov,282,0.39361702127659576,0.8439716312056738,0.7375886524822695,0.9369369369369369,0.8253968253968254
occupation,Machine-op-inspct,560,0.15,0.8553571428571428,0.5238095238095238,0.39285714285714285,0.4489795918367347
occupation,Adm-clerical,1145,0.137117903930131,0.9021834061135371,0.6142131979695431,0.7707006369426752,0.6836158192090396
occupation,Exec-managerial,1193,0.49958088851634536,0.8298407376362112,0.7787234042553192,0.9211409395973155,0.8439661798616449
occupation,Sales,1091,0.2520623281393217,0.8395967002749771,0.6461988304093568,0.8036363636363636,0.7163695299837926
occupation,Prof-specialty,1257,0.4311853619729515,0.8361177406523469,0.7727272727272727,0.8782287822878229,0.8221070811744386
occupation,Other-service,1023,0.044965786901270774,0.9657869012707723,0.9230769230769231,0.2608695652173913,0.4067796610169492
occupation,Transport-moving,447,0.18344519015659955,0.7874720357941835,0.44036697247706424,0.5853658536585366,0.5026178010471204
occupation,Craft-repair,1240,0.22661290322580646,0.8048387096774193,0.5619047619047619,0.6298932384341637,0.5939597315436241
occupation,Tech-support,322,0.30745341614906835,0.8726708074534162,0.75,0.8787878787878788,0.8093023255813954
occupation,Farming-fishing,309,0.11974110032362459,0.8964401294498382,0.5925925925925926,0.43243243243243246,0.5
occupation,Handlers-cleaners,394,0.07868020304568528,0.9441624365482234,0.7647058823529411,0.41935483870967744,0.5416666666666666
occupation,Protective-serv,177,0.288135593220339,0.7570621468926554,0.5555555555555556,0.7843137254901961,0.6504065040650406
occupation,Priv-house-serv,42,0.07142857142857142,0.9761904761904762,1.0,0.6666666666666666,0.8
